CASEID,YEAR,ID,VERSION,COMPWT,SEX,AGE,RACE,SRCBELT,RELIG,RELIG16,DENOM16,PARELIG,PARELKID,MARELIG,MARELKID,SPREL,EDUC,SEI,INCOME,RINCOME,INTRHOME,COMPUSE,WEBMOB,WEBTV,EMAILHR,EMAILMIN,USEWWW,WWWHR,WWWMIN
38162,2000,  46,3,1.10000000000000009e+00,2,46,1,3, 2, 2, 0,0,0,0,0, 0, 6,22.5, 9, 9,0,0,0,0, -1,-1,0, -1,-1
38163,2000,  47,1,1.10000000000000009e+00,1,65,1,3, 1, 1,14,0,0,0,0, 0,18,61.9,12,12,0,2,0,2, -1,-1,0, -1,-1
38164,2000,  48,2,1.10000000000000009e+00,2,52,1,3, 1, 1,40,0,0,0,0, 0,12,22.6,12, 3,0,1,0,0,  3, 0,1,  3, 0
38165,2000,  49,4,1.64999999999999991e+00,2,56,1,3, 1, 2, 0,0,0,0,0, 0,16,68.1,12,12,0,1,0,0,  2, 0,1,  0,30
38166,2000,  50,5,1.10000000000000009e+00,1,66,1,3, 1, 1,14,0,0,0,0, 0,16,73.6,12,12,0,1,0,0, 10, 0,1,  6, 0
38167,2000,  51,5,1.10000000000000009e+00,1,20,1,3, 1, 1,28,0,0,0,0, 0,11,46.8,12,10,0,1,0,0,  0, 0,1,  2, 0
38168,2000,  52,3,1.10000000000000009e+00,2,64,1,3, 1, 1,28,0,0,0,0, 0,16,80.3,12, 5,0,0,0,0, -1,-1,0, -1,-1
38169,2000,  53,3,1.10000000000000009e+00,1,59,1,2, 1, 1,22,0,0,0,0, 0,16,63.5,12,12,0,0,0,0, -1,-1,0, -1,-1
38170,2000,  54,5,2.20000000000000018e+00,2,46,1,2, 1, 1,14,0,0,0,0, 0,13,50.7,12, 0,0,2,0,2, -1,-1,0, -1,-1
38171,2000,  55,5,1.10000000000000009e+00,1,26,3,2, 4, 5, 0,0,0,0,0, 0,15,33.1,12, 9,0,2,0,2, -1,-1,0, -1,-1
38172,2000,  56,6,5.50000000000000044e-01,2,39,2,2, 4, 1,18,0,0,0,0, 0,12,38.4,98,98,0,1,0,0,  0, 0,1,  0,30
38173,2000,  57,4,1.10000000000000009e+00,2,51,1,2, 1, 1,18,0,0,0,0, 0,12,31.4,11,11,0,1,0,0,  1, 0,1,  1, 0
38174,2000,  58,1,5.50000000000000044e-01,2,45,1,2, 1, 1,41,0,0,0,0, 0,18,80.3,12,12,0,1,0,0,  5, 0,1,  2, 0
38175,2000,  59,4,1.10000000000000009e+00,2,23,1,2, 1, 5, 0,0,0,0,0, 0,16,50.5, 2, 2,0,1,0,0,  7, 0,1,  0,20
38176,2000,  60,6,1.10000000000000009e+00,2,21,1,2, 1, 1,70,0,0,0,0, 0,15,33.1,98,98,0,1,0,0,  0, 0,1,  0,30
38177,2000,  61,2,1.10000000000000009e+00,2,26,1,2, 1, 1,22,0,0,0,0, 0,17,78.5,11, 9,0,2,0,2, -1,-1,0, -1,-1
38178,2000,  62,3,1.10000000000000009e+00,2,31,3,2,11, 2, 0,0,0,0,0, 0,20,78.5,12,12,0,0,0,0, -1,-1,0, -1,-1
38179,2000,  63,1,1.10000000000000009e+00,2,27,2,2, 1, 1,11,0,0,0,0, 0,16,78.5,12,12,0,1,0,0,  0, 0,1,  0, 0
38180,2000,  64,4,5.50000000000000044e-01,2,78,1,5, 1, 1,14,0,0,0,0, 0,10,17.1, 8, 0,0,2,0,2, -1,-1,0, -1,-1
38181,2000,  65,6,5.50000000000000044e-01,2,29,1,5, 4, 4, 0,0,0,0,0, 0, 8,22.9, 9, 9,0,2,0,2, -1,-1,0, -1,-1
38182,2000,  66,5,1.64999999999999991e+00,1,43,2,5, 4, 1,99,0,0,0,0, 0,12,38.9,12, 0,0,1,0,0,  0, 0,2, -1,-1
38183,2000,  67,3,5.50000000000000044e-01,2,61,1,5, 2, 2, 0,0,0,0,0, 0,14,85.1,12,12,0,0,0,0, -1,-1,0, -1,-1
38184,2000,  68,4,1.10000000000000009e+00,2,33,1,5, 1, 2, 0,0,0,0,0, 0, 7,-1.0,12, 0,0,1,0,0,  0, 0,1,  2, 0
38185,2000,  69,3,5.50000000000000044e-01,2,34,2,1, 1, 1,13,0,0,0,0, 0,12,29.2,10,10,0,0,0,0, -1,-1,0, -1,-1
38186,2000,  70,2,5.50000000000000044e-01,2,89,1,1, 1, 1,30,0,0,0,0, 0,10,29.3, 1, 0,0,2,0,2, -1,-1,0, -1,-1
38187,2000,  71,5,5.50000000000000044e-01,2,83,2,1, 1, 1,22,0,0,0,0, 0,10,22.5, 1, 0,0,2,0,2, -1,-1,0, -1,-1
38188,2000,  72,4,5.50000000000000044e-01,2,78,2,1, 5, 1,14,0,0,0,0, 0, 7,32.0, 2, 0,0,2,0,2, -1,-1,0, -1,-1
38189,2000,  73,1,5.50000000000000044e-01,2,89,2,1, 1, 1,18,0,0,0,0, 0,12,36.5, 9, 0,0,2,0,2, -1,-1,0, -1,-1
38190,2000,  74,6,5.50000000000000044e-01,2,84,2,1, 1, 1,12,0,0,0,0, 0,12,27.5, 5, 0,0,2,0,2, -1,-1,0, -1,-1
38191,2000,  75,2,5.50000000000000044e-01,2,69,2,1, 1, 1,12,0,0,0,0, 0, 4,-1.0,13, 0,0,2,0,2, -1,-1,0, -1,-1
38192,2000,  76,5,5.50000000000000044e-01,2,32,2,1, 1, 4, 0,0,0,0,0, 0,11,22.9, 9, 9,0,2,0,2, -1,-1,0, -1,-1
38193,2000,  77,6,1.10000000000000009e+00,2,76,2,1, 1, 1,14,0,0,0,0, 0, 9,21.2,13, 0,0,9,0,9,999,99,9,999,99
38194,2000,  78,1,5.50000000000000044e-01,2,41,2,1, 1, 1,12,0,0,0,0, 0,13,33.1, 7, 0,0,1,0,0,  0, 0,1,  1, 0
38195,2000,  79,5,1.10000000000000009e+00,1,32,2,1, 2, 2, 0,0,0,0,0, 0,19,78.5,12,12,0,1,0,0,  0, 0,2, -1,-1
38196,2000,  80,4,1.10000000000000009e+00,2,29,2,1, 1, 1,18,0,0,0,0, 0,18,78.5,12,12,0,1,0,0,  0, 0,2, -1,-1
38197,2000,  81,2,1.10000000000000009e+00,2,40,2,1, 1, 1,13,0,0,0,0, 0,13,29.3,13,12,0,1,0,0,  0, 0,2, -1,-1
38198,2000,  82,3,1.64999999999999991e+00,2,44,1,1, 1, 1,32,0,0,0,0, 0,14,56.6,12, 3,0,0,0,0, -1,-1,0, -1,-1
38199,2000,  83,2,5.50000000000000044e-01,2,70,2,1, 2, 1,14,0,0,0,0, 0,19,78.5,12, 0,0,2,0,2, -1,-1,0, -1,-1
38200,2000,  84,5,1.10000000000000009e+00,1,40,2,1, 1, 1,14,0,0,0,0, 0,15,73.2,98,13,0,1,0,0,  0, 0,1,  0,20
38201,2000,  85,6,1.10000000000000009e+00,2,51,2,1, 1, 1,18,0,0,0,0, 0,13,74.4,12, 3,0,1,0,0,  0, 0,2, -1,-1
38202,2000,  86,1,5.50000000000000044e-01,1,75,1,1, 1, 1,10,0,0,0,0, 0,13,27.7, 9, 0,0,2,0,2, -1,-1,0, -1,-1
38203,2000,  87,1,1.10000000000000009e+00,1,22,2,1, 1, 1,14,0,0,0,0, 0,12,26.7,12,11,0,2,0,2, -1,-1,0, -1,-1
38204,2000,  88,4,5.50000000000000044e-01,2,53,2,1, 1, 1,18,0,0,0,0, 0,16,57.1,12,12,0,1,0,0,  3, 0,1,  2, 0
38205,2000,  89,1,1.10000000000000009e+00,1,20,1,3, 2, 2, 0,0,0,0,0, 0,12,34.7,12, 9,0,1,0,0,  0, 0,1,  1, 0
38206,2000,  90,1,1.10000000000000009e+00,2,80,1,3, 2, 2, 0,0,0,0,0, 0,12,26.4,11, 0,0,2,0,2, -1,-1,0, -1,-1
38207,2000,  91,6,5.50000000000000044e-01,1,70,1,3, 2, 2, 0,0,0,0,0, 0,13,73.6,10,13,0,2,0,2, -1,-1,0, -1,-1
38208,2000,  92,5,1.10000000000000009e+00,1,45,1,5, 2, 2, 0,0,0,0,0, 0,14,44.7,12,12,0,2,0,2, -1,-1,0, -1,-1
38209,2000,  93,5,1.10000000000000009e+00,2,46,1,5,13, 2, 0,0,0,0,0, 0,99,32.0,12,12,0,1,0,0,  0, 0,1,  0, 3
38210,2000,  94,2,1.64999999999999991e+00,1,24,1,5, 2, 2, 0,0,0,0,0, 0,16,31.5,12,10,0,1,0,0,  0, 1,1,  1, 0
38211,2000,  95,3,1.10000000000000009e+00,1,51,1,5, 2, 2, 0,0,0,0,0, 0,13,37.3,12,11,0,0,0,0, -1,-1,0, -1,-1
38212,2000,  96,2,1.10000000000000009e+00,1,32,1,5, 2, 2, 0,0,0,0,0, 0,14,39.0,12,12,0,1,0,0,  0,30,1,  5, 0
38213,2000,  97,1,1.10000000000000009e+00,2,53,1,5, 2, 1,32,0,0,0,0, 0,12,26.7,13,13,0,2,0,2, -1,-1,0, -1,-1
38214,2000,  98,3,2.20000000000000018e+00,2,52,1,3, 4, 1,22,0,0,0,0, 0,18,75.9,12, 1,0,0,0,0, -1,-1,0, -1,-1
38215,2000,  99,3,5.50000000000000044e-01,1,83,1,3, 4, 1,28,0,0,0,0, 0,16,63.5,12, 0,0,0,0,0, -1,-1,0, -1,-1
38216,2000, 100,4,5.50000000000000044e-01,1,39,1,3, 4, 2, 0,0,0,0,0, 0,19,83.7,13,13,0,1,0,0, 15, 0,1,  5, 0
38217,2000, 101,5,1.10000000000000009e+00,1,47,1,3, 1, 2, 0,0,0,0,0, 0,19,78.5,13,13,0,1,0,0,  2, 0,1, 30, 0
38218,2000, 102,6,1.10000000000000009e+00,1,45,1,3, 2, 2, 0,0,0,0,0, 0,16,92.8,12,12,0,1,0,0,  1, 0,1,  5, 0
38219,2000, 103,1,1.10000000000000009e+00,2,48,1,3, 4, 2, 0,0,0,0,0, 0,16,-1.0,12, 0,0,2,0,2, -1,-1,0, -1,-1
38220,2000, 104,6,1.10000000000000009e+00,1,50,3,3, 7, 7, 0,0,0,0,0, 0,16,78.0,12,12,0,1,0,0,  0, 0,1,  5, 0
38221,2000, 105,3,5.50000000000000044e-01,1,78,1,3, 1, 1,22,0,0,0,0, 0,13,61.9,12, 0,0,0,0,0, -1,-1,0, -1,-1
38222,2000, 106,1,1.64999999999999991e+00,2,45,1,3, 3, 1,32,0,0,0,0, 0,17,63.5,98, 0,0,1,0,0,  0,30,1,  0,10
38223,2000, 107,2,5.50000000000000044e-01,1,56,1,3, 3, 3, 0,0,0,0,0, 0,16,76.4,13,13,0,2,0,2, -1,-1,0, -1,-1
38224,2000, 108,5,5.50000000000000044e-01,2,47,1,3, 3, 3, 0,0,0,0,0, 0,16,76.4,12,12,0,1,0,0,  3, 0,1,  3, 0
38225,2000, 109,4,1.10000000000000009e+00,1,72,1,3, 3, 3, 0,0,0,0,0, 0,16,44.7,12,12,0,1,0,0, 10, 0,1,  6, 0
38226,2000, 110,4,5.50000000000000044e-01,2,29,3,1, 1, 2, 0,0,0,0,0, 0,15,73.6,13, 9,0,1,0,0, 40, 0,1, 10, 0
38227,2000, 111,6,1.10000000000000009e+00,1,26,1,1, 4, 4, 0,0,0,0,0, 0,16,76.4,12,11,0,1,0,0,  7, 0,1,  2, 0
38228,2000, 112,1,1.10000000000000009e+00,1,52,2,1, 4, 4, 0,0,0,0,0, 0,12,37.3,13,13,0,1,0,0,  0,10,2, -1,-1
38229,2000, 113,4,5.50000000000000044e-01,1,39,3,1,12,12, 0,0,0,0,0, 0,16,73.7,12,13,0,1,0,0,  0,40,1,  1, 0
38230,2000, 114,2,1.10000000000000009e+00,2,30,3,1, 4, 1,18,0,0,0,0, 0,16,53.7,12,12,0,1,0,0,  0, 0,1,  0,30
38231,2000, 115,2,5.50000000000000044e-01,2,48,2,1, 4, 1,18,0,0,0,0, 0, 9,36.5,12,12,0,2,0,2, -1,-1,0, -1,-1
38232,2000, 116,3,5.50000000000000044e-01,2,62,2,1, 1, 1,50,0,0,0,0, 0,13,50.7,12,12,0,0,0,0, -1,-1,0, -1,-1
38233,2000, 117,2,1.10000000000000009e+00,2,57,1,1, 5, 1,48,0,0,0,0, 0,12,63.5,12,12,0,1,0,0,  0,30,2, -1,-1
38234,2000, 118,5,5.50000000000000044e-01,1,60,1,1, 2, 2, 0,0,0,0,0, 0, 8,31.5,11, 0,0,2,0,2, -1,-1,0, -1,-1
38235,2000, 119,4,2.20000000000000018e+00,2,47,1,1, 2, 2, 0,0,0,0,0, 0,11,48.5,98, 9,0,2,0,2, -1,-1,0, -1,-1
38236,2000, 120,6,1.64999999999999991e+00,2,55,1,1, 1, 1,18,0,0,0,0, 0,11,32.4, 9, 0,0,2,0,2, -1,-1,0, -1,-1
38237,2000, 121,5,1.10000000000000009e+00,2,43,1,1, 2, 2, 0,0,0,0,0, 0,13,-1.0, 1, 0,0,2,0,2, -1,-1,0, -1,-1
38238,2000, 122,3,5.50000000000000044e-01,2,31,1,1, 2, 2, 0,0,0,0,0, 0,10,-1.0, 5, 0,0,0,0,0, -1,-1,0, -1,-1
38239,2000, 123,1,1.10000000000000009e+00,1,44,1,1, 2, 2, 0,0,0,0,0, 0, 8,29.4, 9, 0,0,2,0,2, -1,-1,0, -1,-1
38240,2000, 124,3,5.50000000000000044e-01,1,40,1,1, 1, 2, 0,0,0,0,0, 0,13,64.2,12,99,0,0,0,0, -1,-1,0, -1,-1
38241,2000, 125,4,1.10000000000000009e+00,2,25,1,1, 2, 2, 0,0,0,0,0, 0,13,-1.0,10, 0,0,2,0,2, -1,-1,0, -1,-1
38242,2000, 126,4,5.50000000000000044e-01,2,37,1,1, 2, 2, 0,0,0,0,0, 0,12,27.7,11,11,0,2,0,2, -1,-1,0, -1,-1
38243,2000, 127,1,5.50000000000000044e-01,1,56,1,1, 1, 1,60,0,0,0,0, 0, 8,-1.0,13,13,0,2,0,2, -1,-1,0, -1,-1
38244,2000, 128,2,1.10000000000000009e+00,1,28,1,1, 2, 2, 0,0,0,0,0, 0,10,29.2,13,13,0,2,0,2, -1,-1,0, -1,-1
38245,2000, 129,5,1.10000000000000009e+00,1,36,2,1, 1, 2, 0,0,0,0,0, 0,11,28.6, 1, 0,0,2,0,2, -1,-1,0, -1,-1
38246,2000, 130,3,5.50000000000000044e-01,1,35,2,1, 1, 1,60,0,0,0,0, 0,12,31.5, 8, 0,0,0,0,0, -1,-1,0, -1,-1
38247,2000, 131,6,1.10000000000000009e+00,1,23,1,1, 1, 1,38,0,0,0,0, 0,16,27.5, 3, 3,0,1,0,0,  0, 0,2, -1,-1
38248,2000, 132,6,1.10000000000000009e+00,1,30,1,1,11, 2, 0,0,0,0,0, 0,15,63.5,12, 9,0,2,0,2, -1,-1,0, -1,-1
38249,2000, 133,4,5.50000000000000044e-01,1,32,1,1, 4, 1,60,0,0,0,0, 0,19,56.5,12, 8,0,1,0,0,  0,30,1,  1, 0
38250,2000, 134,4,5.50000000000000044e-01,2,50,2,1,13, 1,50,0,0,0,0, 0,14,31.4, 9, 9,0,1,0,0, 20, 0,2, -1,-1
38251,2000, 135,3,5.50000000000000044e-01,2,38,2,1, 1, 1,18,0,0,0,0, 0,12,50.7,12, 8,0,0,0,0, -1,-1,0, -1,-1
38252,2000, 136,5,5.50000000000000044e-01,2,31,1,1,11,11, 0,0,0,0,0, 0,16,72.0,11,11,0,1,0,0,  3, 0,1,  5, 0
38253,2000, 137,1,5.50000000000000044e-01,2,82,2,1, 1, 1,18,0,0,0,0, 0, 8,22.5, 4, 0,0,2,0,2, -1,-1,0, -1,-1
38254,2000, 138,2,5.50000000000000044e-01,2,73,1,1, 2, 2, 0,0,0,0,0, 0,12,22.5, 7, 0,0,2,0,2, -1,-1,0, -1,-1
38255,2000, 139,2,5.50000000000000044e-01,1,57,2,1, 4, 2, 0,0,0,0,0, 0,11,31.3, 9, 0,0,2,0,2, -1,-1,0, -1,-1
38256,2000, 140,6,5.50000000000000044e-01,2,60,2,1, 2, 2, 0,0,0,0,0, 0,13,50.7,10, 0,0,2,0,2, -1,-1,0, -1,-1
38257,2000, 141,5,5.50000000000000044e-01,1,76,1,1, 1, 2, 0,0,0,0,0, 0, 7,26.7, 1, 0,0,2,0,2, -1,-1,0, -1,-1
38258,2000, 142,2,5.50000000000000044e-01,2,70,2,1, 1, 1,18,0,0,0,0, 0,11,38.9, 9, 0,0,2,0,2, -1,-1,0, -1,-1
38259,2000, 143,4,5.50000000000000044e-01,2,87,2,1, 1, 1,18,0,0,0,0, 0, 7,22.5, 6,98,0,2,0,2, -1,-1,0, -1,-1
38260,2000, 144,3,5.50000000000000044e-01,2,70,1,1, 2, 2, 0,0,0,0,0, 0, 9,21.2, 6, 0,0,0,0,0, -1,-1,0, -1,-1
38261,2000, 145,1,5.50000000000000044e-01,2,78,1,1, 1, 1,21,0,0,0,0, 0, 9,28.4, 6, 0,0,2,0,2, -1,-1,0, -1,-1
38262,2000, 146,6,1.10000000000000009e+00,2,32,2,2, 4, 1,10,0,0,0,0, 0,14,64.8,12,10,0,1,0,0,  0, 0,2, -1,-1
38263,2000, 147,6,5.50000000000000044e-01,2,58,2,2, 1, 2, 0,0,0,0,0, 0,12,78.5, 2, 2,0,1,0,0,  0, 0,1,  5, 0
38264,2000, 148,1,5.50000000000000044e-01,2,29,2,2, 4, 1,10,0,0,0,0, 0,12,53.3, 8, 8,0,1,0,0,  0, 0,2, -1,-1
38265,2000, 149,3,5.50000000000000044e-01,2,39,2,2, 1, 1,18,0,0,0,0, 0,16,63.5,12,12,0,0,0,0, -1,-1,0, -1,-1
38266,2000, 150,2,5.50000000000000044e-01,2,44,2,2, 1, 1,20,0,0,0,0, 0,12,33.1, 8, 0,0,1,0,0,  0, 0,2, -1,-1
38267,2000, 151,5,1.10000000000000009e+00,2,40,3,2, 4, 1,60,0,0,0,0, 0,14,63.5,12,12,0,1,0,0,  1, 0,2, -1,-1
38268,2000, 152,1,5.50000000000000044e-01,2,36,3,2, 2, 2, 0,0,0,0,0, 0,11,-1.0,98, 0,0,2,0,2, -1,-1,0, -1,-1
38269,2000, 153,4,2.20000000000000018e+00,1,52,1,3, 2, 2, 0,0,0,0,0, 0,14,36.9,13,13,0,1,0,0,  3, 0,1,  5, 0
38270,2000, 154,3,1.10000000000000009e+00,2,41,1,3, 1, 1,10,0,0,0,0, 0,12,36.5,12,11,0,0,0,0, -1,-1,0, -1,-1
38271,2000, 155,2,1.10000000000000009e+00,2,48,2,3, 1, 1,18,0,0,0,0, 0,13,67.0,12,12,0,1,0,0,  0, 5,1,  1, 0
38272,2000, 156,1,1.10000000000000009e+00,1,33,1,3, 4, 1,18,0,0,0,0, 0,14,32.3,12,11,0,1,0,0,  1, 0,1, 10, 0
38273,2000, 157,6,1.64999999999999991e+00,2,65,1,3, 2, 2, 0,0,0,0,0, 0,12,73.6,12, 0,0,1,0,0,  5, 0,1,  2, 0
38274,2000, 158,3,1.10000000000000009e+00,1,41,1,3, 2, 2, 0,0,0,0,0, 0,12,28.4,12,12,0,0,0,0, -1,-1,0, -1,-1
38275,2000, 159,5,2.20000000000000018e+00,1,58,1,3, 1, 1,11,0,0,0,0, 0,20,63.5,12,12,0,1,0,0,  1, 0,1,  1, 0
38276,2000, 160,5,2.20000000000000018e+00,2,48,1,3, 2, 2, 0,0,0,0,0, 0,16,78.5,12,12,0,2,0,2, -1,-1,0, -1,-1
38277,2000, 161,4,1.10000000000000009e+00,2,63,2,3, 1,99,99,0,0,0,0, 0,12,69.2,12, 0,0,2,0,2, -1,-1,0, -1,-1
38278,2000, 162,3,1.10000000000000009e+00,2,43,1,3, 1, 2, 0,0,0,0,0, 0,12,28.4,12,10,0,0,0,0, -1,-1,0, -1,-1
38279,2000, 163,6,1.10000000000000009e+00,2,62,1,3, 1, 1,48,0,0,0,0, 0,10,28.4,10, 9,0,2,0,2, -1,-1,0, -1,-1
38280,2000, 164,6,5.50000000000000044e-01,1,48,1,3, 2, 2, 0,0,0,0,0, 0,16,53.3,12,12,0,1,0,0,  0, 5,1,  0,30
